invoice_no,customer_id,category_id,payment_method_id,shopping_mall_id,invoice_date,quantity,price
I269690,C126436,4,2,10,2022-02-07,3,121.98
I304265,C653385,3,2,2,2021-06-13,5,75.75
I246562,C227070,4,3,7,2021-08-23,5,203.3
I202367,C317478,3,3,5,2023-02-24,3,45.45
I664787,C237330,4,1,5,2023-01-12,2,81.32
I160777,C626042,7,3,3,2022-02-22,4,4200.0
I137794,C133687,5,2,9,2021-03-12,3,15.69
I148377,C841663,1,3,5,2022-01-02,1,300.08
I258195,C213742,6,3,1,2021-11-26,2,71.68
I300213,C962515,1,1,1,2021-04-21,4,1200.32
I263803,C112279,5,3,1,2021-06-23,3,15.69
I335713,C158837,3,3,1,2021-12-14,4,60.6
I133061,C336576,1,1,6,2022-06-09,5,1500.4
I207205,C716161,1,2,1,2021-11-26,1,300.08
I209289,C439382,1,1,1,2021-02-05,4,1200.32
I157285,C123427,1,3,6,2022-03-06,4,1200.32
I218590,C224743,4,2,4,2022-05-09,4,162.64
I181109,C119549,6,3,6,2022-10-17,3,107.52
I221715,C187266,5,3,8,2022-01-22,3,15.69
I204979,C173084,8,2,5,2021-03-14,5,58.65
I115146,C126956,4,3,3,2022-04-27,5,203.3
I883721,C236859,7,1,6,2021-11-19,5,5250.0
I402376,C309926,2,3,2,2022-09-10,5,3000.85
I251356,C493252,4,3,1,2021-09-04,4,162.64
I292239,C109871,5,3,6,2022-08-21,5,26.15
I276526,C136117,2,2,7,2021-10-02,5,3000.85
I260525,C258404,6,3,7,2023-01-07,3,107.52
I870944,C169749,8,1,8,2021-06-08,3,35.19
I739573,C199947,1,2,1,2021-04-17,5,1500.4
I115870,C135790,2,3,3,2021-09-04,4,2400.68
I190444,C606418,5,3,6,2022-07-20,5,26.15
I309552,C111611,5,1,5,2021-07-14,4,20.92
I306076,C679476,6,3,7,2022-11-01,2,71.68
I321683,C542025,4,1,3,2023-01-06,4,162.64
I151332,C168491,8,3,1,2021-03-25,2,23.46
I340014,C169650,1,1,5,2022-09-08,2,600.16
I249424,C158160,5,3,6,2022-02-18,1,5.23
I227716,C552345,5,3,1,2021-04-22,2,10.46
I140663,C218383,1,3,10,2022-10-15,5,1500.4
I253242,C309438,2,3,6,2022-04-07,5,3000.85
I108359,C253905,5,3,6,2022-06-07,1,5.23
I195567,C992677,1,2,4,2023-01-22,4,1200.32
I289643,C584700,7,3,1,2022-08-22,2,2100.0
I722319,C157070,6,2,1,2021-10-03,1,35.84
I317105,C177975,8,2,1,2021-07-29,5,58.65
I215721,C830576,4,2,3,2022-12-16,2,81.32
I154469,C807389,6,2,6,2021-06-03,3,107.52
I172458,C277842,1,2,8,2021-12-17,2,600.16
I297270,C183011,1,1,4,2022-12-31,5,1500.4
I153930,C567813,5,3,2,2022-08-09,3,15.69
I282854,C282974,1,3,1,2022-07-31,3,900.24
I869144,C181972,5,2,6,2021-05-04,4,20.92
I283443,C189493,7,1,9,2022-05-25,3,3150.0
I193271,C242748,5,2,1,2022-12-23,3,15.69
I985478,C324683,1,1,1,2023-01-24,4,1200.32
I200392,C307921,1,1,9,2021-09-14,5,1500.4
I256691,C152549,4,3,3,2022-02-04,1,40.66
I796162,C111832,5,1,3,2022-01-06,5,26.15
I224371,C204174,1,1,6,2022-02-01,5,1500.4
I215998,C279370,1,3,8,2022-10-26,5,1500.4
I338966,C907582,1,3,6,2022-09-21,5,1500.4
I293215,C166635,4,1,5,2021-12-12,4,162.64
I149688,C276043,1,3,10,2021-08-21,4,1200.32
I109649,C282643,5,2,7,2021-10-08,3,15.69
I299820,C820515,3,3,1,2021-11-22,3,45.45
I157775,C331761,1,3,1,2022-03-19,1,300.08
I317140,C326893,8,3,5,2022-10-19,5,58.65
I147334,C306395,1,3,9,2022-01-12,2,600.16
I278121,C885344,6,2,3,2021-06-07,4,143.36
I134452,C112750,1,1,2,2023-01-15,1,300.08
I320846,C274870,1,1,1,2021-11-11,4,1200.32
I740676,C199864,1,1,5,2022-09-21,2,600.16
I142331,C997380,4,2,3,2021-05-30,4,162.64
I222983,C132002,1,1,4,2021-12-23,1,300.08
I164665,C255058,7,3,1,2022-04-30,2,2100.0
I133387,C271799,6,3,2,2021-06-07,4,143.36
I276763,C765620,6,2,1,2022-02-21,5,179.2
I273890,C891545,1,2,7,2021-08-26,3,900.24
I774221,C519513,5,3,3,2021-12-15,5,26.15
I202171,C125624,1,2,6,2021-02-20,1,300.08
I219780,C658980,1,3,1,2021-10-08,2,600.16
I160221,C319231,1,3,6,2022-08-01,3,900.24
I106691,C150594,1,3,1,2021-09-09,4,1200.32
I129886,C846730,5,3,3,2021-10-25,5,26.15
I745394,C249877,5,3,4,2021-12-14,1,5.23
I157056,C200826,1,3,1,2021-06-20,5,1500.4
I304531,C263874,1,2,4,2021-04-07,1,300.08
I762439,C663463,3,3,3,2021-12-05,4,60.6
I300972,C134370,4,1,10,2021-05-25,1,40.66
I151588,C310642,3,1,3,2022-04-12,3,45.45
I657069,C651699,1,3,6,2021-12-16,4,1200.32
I122655,C989693,7,1,4,2021-02-21,2,2100.0
I236914,C123581,1,3,6,2021-10-26,3,900.24
I247471,C192446,6,3,6,2022-12-18,1,35.84
I362306,C143343,1,1,3,2022-09-19,1,300.08
I215279,C223343,1,1,1,2023-02-01,2,600.16
I216061,C309082,5,1,6,2022-10-05,3,15.69
I246375,C236365,4,3,1,2021-11-28,2,81.32
I103596,C178734,2,3,1,2021-08-03,5,3000.85
I259878,C223010,1,1,4,2022-10-12,4,1200.32
I206422,C289933,5,1,1,2022-09-28,2,10.46
I201704,C340116,5,3,3,2021-07-12,3,15.69
I168037,C816586,6,3,6,2021-07-03,4,143.36
I307534,C434171,4,3,9,2022-03-26,4,162.64
I259196,C215384,6,1,8,2022-05-17,4,143.36
I141241,C143442,8,1,1,2022-04-11,5,58.65
I289973,C102926,5,1,1,2021-10-22,5,26.15
I147203,C340063,4,3,5,2021-12-20,5,203.3
I323788,C131786,1,1,4,2022-03-17,1,300.08
I285454,C194380,8,1,4,2022-06-23,5,58.65
I288152,C269623,7,2,6,2021-06-19,3,3150.0
I134126,C847171,1,2,5,2022-08-30,1,300.08
I311052,C556552,1,3,8,2021-11-20,4,1200.32
I176469,C876528,5,1,9,2021-07-31,2,10.46
I167993,C303493,6,3,1,2022-02-20,2,71.68
I222086,C978718,1,3,7,2023-02-09,5,1500.4
I164597,C111766,1,3,6,2021-03-24,1,300.08
I184307,C175946,5,1,1,2022-08-25,1,5.23
I289905,C160005,4,3,1,2021-10-21,4,162.64
I416544,C599109,5,1,3,2022-05-28,2,10.46
I601026,C693789,8,1,10,2022-03-05,5,58.65
I257890,C259342,2,3,1,2021-10-05,1,600.17
I260028,C208108,1,3,4,2021-04-16,4,1200.32
I170160,C244213,6,2,3,2023-02-26,2,71.68
I624164,C102685,1,3,1,2021-03-20,1,300.08
I143353,C244291,8,3,3,2022-05-15,5,58.65
I278401,C162371,6,2,6,2023-01-31,1,35.84
I402966,C375422,4,2,9,2021-10-02,4,162.64
I244241,C911768,1,1,9,2022-08-03,5,1500.4
I179048,C270129,7,2,8,2021-03-28,3,3150.0
I165202,C617189,4,3,6,2022-11-21,4,162.64
I328321,C271029,8,1,4,2021-02-12,2,23.46
I417106,C292356,1,3,8,2021-04-03,3,900.24
I248153,C329633,5,3,4,2022-07-03,1,5.23
I112270,C244780,5,3,6,2021-02-14,4,20.92
I318831,C139568,4,1,9,2022-07-15,4,162.64
I258322,C220281,1,3,9,2021-07-12,4,1200.32
I334246,C311034,4,3,6,2022-05-19,3,121.98
I198233,C584141,4,3,4,2023-02-13,4,162.64
I310819,C221934,4,1,2,2022-11-27,5,203.3
I409288,C513561,5,3,9,2021-03-02,3,15.69
I131054,C257990,6,3,1,2021-10-16,4,143.36
I149521,C168348,1,3,1,2021-11-04,2,600.16
I156233,C161285,1,1,6,2023-01-11,1,300.08
I295784,C166191,4,1,2,2022-06-08,3,121.98
I255381,C172966,1,2,3,2021-05-24,4,1200.32
I337719,C320928,4,3,5,2021-01-18,5,203.3
I220863,C131497,3,3,6,2021-07-22,4,60.6
I530401,C526660,7,3,10,2022-09-25,2,2100.0
I219555,C266961,1,1,3,2021-09-10,3,900.24
I316629,C204741,8,3,8,2022-01-16,3,35.19
I795251,C181619,4,3,1,2022-11-13,5,203.3
I151099,C250395,8,1,6,2021-03-14,2,23.46
I286193,C322994,4,3,5,2022-07-23,3,121.98
I399563,C250673,6,3,4,2021-06-24,1,35.84
I229355,C192978,2,1,1,2021-01-30,5,3000.85
I147727,C163033,3,1,1,2022-04-17,1,15.15
I504141,C558480,4,1,1,2023-02-23,1,40.66
I246151,C287409,3,2,4,2021-07-05,3,45.45
I164675,C993675,3,3,1,2021-08-31,5,75.75
I606511,C307535,8,1,9,2022-09-09,2,23.46
I342816,C238961,5,3,6,2021-11-04,2,10.46
I151764,C671866,1,3,1,2022-06-30,5,1500.4
I226172,C171154,2,3,1,2021-07-24,1,600.17
I737630,C848969,1,3,4,2022-04-15,5,1500.4
I891311,C240171,5,2,4,2021-09-25,2,10.46
I127733,C665777,3,3,1,2021-08-24,5,75.75
I202398,C256730,2,3,10,2021-01-26,5,3000.85
I160585,C298229,4,3,4,2022-02-05,2,81.32
I771414,C183404,5,3,2,2022-12-09,3,15.69
I139520,C316398,1,3,6,2021-02-14,5,1500.4
I291540,C557245,5,2,1,2022-07-17,1,5.23
I798213,C662958,2,3,4,2021-01-03,3,1800.51
I232338,C545065,1,2,4,2022-09-22,4,1200.32
I267713,C284679,4,1,1,2021-06-27,4,162.64
I525798,C581947,4,3,6,2023-02-03,4,162.64
I353272,C199311,1,1,5,2021-07-29,1,300.08
I165687,C206501,1,3,4,2022-12-08,3,900.24
I169015,C726021,1,1,6,2022-08-11,5,1500.4
I111305,C448846,5,3,4,2021-09-13,3,15.69
I187171,C168663,6,1,5,2022-05-27,4,143.36
I148276,C616106,1,2,10,2022-12-07,4,1200.32
I783231,C771066,1,2,8,2022-01-05,5,1500.4
I313426,C101196,4,2,1,2022-04-05,4,162.64
I112291,C898405,5,1,8,2022-01-10,1,5.23
I402983,C372643,7,2,1,2022-01-30,1,1050.0
I155076,C195626,6,1,1,2022-12-21,5,179.2
I204056,C622748,1,1,4,2021-02-24,4,1200.32
I218385,C290280,6,3,3,2022-07-19,1,35.84
I198698,C281268,1,2,4,2023-01-15,1,300.08
I428118,C826744,2,1,1,2023-01-12,2,1200.34
I204147,C252021,2,1,1,2022-11-05,3,1800.51
I361028,C647656,2,3,3,2021-07-23,2,1200.34
I915945,C250065,1,1,4,2022-06-30,4,1200.32
I165461,C230766,1,1,7,2022-11-01,1,300.08
I762381,C243515,2,3,1,2022-10-27,1,600.17
I818298,C204632,1,2,1,2022-08-21,5,1500.4
I261290,C252598,1,1,8,2021-03-13,3,900.24
I215578,C866033,4,1,1,2022-08-04,2,81.32
I136666,C288416,5,1,6,2021-04-01,2,10.46
I120948,C340089,2,2,6,2021-08-08,4,2400.68
I173679,C555040,7,1,9,2021-06-28,3,3150.0
I638275,C809281,1,1,7,2021-01-25,5,1500.4
I551237,C375325,1,3,4,2021-11-22,4,1200.32
I239285,C155335,4,1,9,2022-11-13,3,121.98
I723062,C225051,1,1,1,2022-08-12,4,1200.32
I353329,C635016,6,1,3,2022-09-18,2,71.68
I321920,C165705,1,3,6,2021-06-08,4,1200.32
I176115,C709571,4,3,9,2021-08-30,4,162.64
I251743,C851508,6,2,1,2022-06-19,3,107.52
I964173,C184126,1,2,7,2022-12-15,3,900.24
I334389,C233642,4,3,6,2021-12-29,2,81.32
I251855,C258410,4,1,8,2022-06-19,3,121.98
I985808,C270667,3,3,7,2021-06-16,5,75.75
I224565,C321527,2,3,7,2021-02-07,1,600.17
I239703,C109489,5,1,1,2023-01-17,3,15.69
I156413,C103824,4,2,3,2022-01-20,5,203.3
I158683,C126571,8,2,3,2022-07-31,2,23.46
I983860,C169676,2,1,4,2021-09-30,1,600.17
I119809,C321889,5,2,10,2022-04-06,1,5.23
I319942,C212128,4,2,6,2022-11-14,5,203.3
I133278,C301271,1,1,3,2021-02-24,3,900.24
I252084,C221995,8,3,3,2021-05-25,4,46.92
I182889,C318802,1,1,3,2021-03-22,2,600.16
I106271,C263812,1,2,6,2022-12-22,1,300.08
I112481,C321609,5,3,8,2021-07-07,5,26.15
I240751,C666013,5,1,1,2021-09-18,1,5.23
I282789,C172185,4,3,5,2022-02-18,2,81.32
I676291,C150463,5,3,4,2021-06-13,2,10.46
I827069,C274529,6,3,6,2021-05-30,5,179.2
I242823,C242659,1,2,4,2021-03-26,4,1200.32
I208631,C194451,7,1,1,2022-07-27,2,2100.0
I139308,C252600,8,1,7,2022-04-06,2,23.46
I177201,C309645,1,3,2,2022-02-04,5,1500.4
I263818,C336232,8,3,10,2022-06-26,4,46.92
I174966,C325906,5,3,6,2022-07-25,5,26.15
I186896,C138755,6,1,10,2021-09-19,1,35.84
I207465,C296745,1,3,5,2022-10-10,2,600.16
I191148,C221838,7,1,2,2022-03-29,2,2100.0
I159487,C104985,1,3,7,2021-07-09,1,300.08
I215141,C826514,8,3,1,2022-01-25,1,11.73
I235828,C267333,3,3,3,2021-12-14,5,75.75
I281274,C130479,1,3,1,2022-09-04,1,300.08
I135898,C310108,6,2,4,2022-08-14,2,71.68
I943072,C358486,4,3,3,2022-02-03,2,81.32
I142738,C208738,1,1,1,2021-01-03,4,1200.32
I304665,C111056,5,1,4,2021-12-05,5,26.15
I133240,C999586,6,1,10,2022-06-14,3,107.52
I215906,C296862,1,2,6,2021-08-13,4,1200.32
I247747,C101550,2,3,5,2022-01-11,2,1200.34
I227154,C278142,4,3,1,2021-12-22,3,121.98
I133197,C330779,4,1,2,2021-02-04,2,81.32
I542618,C282968,4,2,7,2022-02-22,3,121.98
I522612,C852668,6,3,1,2021-09-14,3,107.52
I336817,C274936,1,3,8,2021-08-03,1,300.08
I216982,C269751,8,3,3,2023-01-02,4,46.92
I317443,C136051,6,1,6,2022-11-23,1,35.84
I115679,C266462,1,3,1,2023-01-10,1,300.08
I227707,C329163,2,3,9,2022-01-10,4,2400.68
I238456,C305398,5,3,1,2022-08-06,1,5.23
I940840,C267961,4,3,5,2023-02-19,2,81.32
I298805,C101248,5,1,1,2021-06-29,3,15.69
I169894,C165812,1,3,5,2021-07-01,2,600.16
I183571,C339518,5,1,3,2022-02-07,1,5.23
I921232,C235057,6,3,8,2021-10-10,2,71.68
I130799,C103944,1,1,3,2021-06-30,3,900.24
I199384,C260889,3,1,1,2022-03-24,4,60.6
I300557,C207753,4,2,5,2022-09-17,3,121.98
I162186,C204154,4,2,5,2021-07-31,2,81.32
I299125,C290344,8,1,1,2022-11-21,4,46.92
I720017,C730395,5,1,1,2022-09-04,2,10.46
I293086,C312155,4,1,1,2021-02-18,3,121.98
I995407,C259743,8,3,4,2021-03-21,3,35.19
I306845,C605200,5,1,6,2022-09-02,4,20.92
I274190,C317850,6,3,4,2021-06-16,3,107.52
I305432,C986860,6,1,6,2023-01-26,3,107.52
I224122,C236428,1,1,6,2022-07-01,5,1500.4
I119142,C278588,4,2,8,2023-01-25,5,203.3
I117526,C154184,4,1,7,2022-09-23,5,203.3
I195735,C287459,1,1,1,2021-09-08,1,300.08
I243930,C617884,7,2,5,2022-10-31,3,3150.0
I320007,C294024,1,2,3,2021-10-18,5,1500.4
I339004,C790567,1,1,6,2022-07-15,4,1200.32
I139437,C799447,8,1,6,2021-05-31,5,58.65
I325491,C144628,2,3,1,2021-12-22,2,1200.34
I332582,C260810,8,3,4,2022-10-28,5,58.65
I976566,C670524,4,3,2,2021-06-13,1,40.66
I420592,C334281,5,2,1,2022-09-25,4,20.92
I312499,C314173,3,1,6,2021-08-18,1,15.15
I304591,C122712,5,2,1,2021-09-16,2,10.46
I122118,C276111,4,3,3,2022-11-15,5,203.3
I297539,C277924,5,1,6,2021-08-07,3,15.69
I339496,C286466,1,2,4,2021-05-25,1,300.08
I160687,C327001,1,2,5,2022-07-12,2,600.16
I153842,C509924,5,1,2,2022-09-14,3,15.69
I615452,C453635,2,2,3,2022-03-06,1,600.17
I908600,C259539,4,1,2,2023-02-23,4,162.64
I708279,C729392,4,1,7,2021-06-25,3,121.98
I328691,C280085,1,2,3,2022-07-31,2,600.16
I423782,C767634,4,2,6,2021-04-08,2,81.32
I123315,C230018,1,2,10,2021-04-01,2,600.16
I182578,C238063,2,3,1,2022-02-13,4,2400.68
I403818,C308584,3,3,9,2022-06-15,5,75.75
I508712,C216619,6,1,6,2022-07-19,3,107.52
I959992,C241523,5,3,3,2022-07-01,3,15.69
I279688,C209761,1,1,8,2021-06-19,1,300.08
I300847,C329153,6,1,5,2022-01-11,5,179.2
I170966,C126702,5,1,5,2022-12-05,5,26.15
I230221,C287787,1,3,4,2021-04-21,1,300.08
I317354,C142943,1,3,4,2021-11-10,1,300.08
I155404,C100484,6,3,3,2022-09-19,4,143.36
I151181,C260213,1,2,7,2021-01-18,2,600.16
I144046,C210589,2,1,1,2022-04-21,1,600.17
I959386,C885556,2,1,6,2022-11-25,1,600.17
I737965,C944366,1,3,1,2022-11-09,5,1500.4
I194017,C462011,7,3,1,2022-01-03,5,5250.0
I252777,C262366,1,3,10,2022-02-19,2,600.16
I254142,C212400,2,1,7,2022-12-15,3,1800.51
I120850,C204307,1,1,3,2021-11-08,2,600.16
I220285,C162871,5,1,1,2022-05-01,4,20.92
I180980,C119825,1,3,2,2021-04-14,2,600.16
I301451,C260171,4,2,1,2021-06-28,5,203.3
I125700,C244973,2,1,2,2022-06-10,5,3000.85
I533062,C208765,1,3,6,2022-05-12,3,900.24
I998874,C321053,1,2,6,2022-12-27,5,1500.4
I325619,C183356,5,2,1,2021-08-16,1,5.23
I200646,C155763,5,1,1,2021-03-05,2,10.46
I337094,C567509,7,3,10,2023-02-09,1,1050.0
I436935,C486241,4,3,5,2023-02-26,4,162.64
I585560,C306892,2,3,6,2023-02-17,2,1200.34
I191967,C266819,4,1,1,2022-08-08,5,203.3
I304567,C317897,8,1,2,2023-03-08,2,23.46
I232809,C545424,2,1,3,2021-10-02,5,3000.85
I157441,C224223,5,3,6,2021-12-22,4,20.92
I591015,C286181,1,3,3,2021-09-12,1,300.08
I219334,C144371,2,1,1,2022-03-23,4,2400.68
I162719,C402433,1,1,7,2021-12-11,5,1500.4
I237375,C297425,3,3,5,2022-12-29,1,15.15
I289611,C222906,1,2,8,2023-03-08,3,900.24
I217650,C236397,5,2,2,2021-02-10,3,15.69
I214129,C309079,1,2,3,2021-05-10,1,300.08
I300799,C116633,5,3,4,2022-03-06,3,15.69
I163771,C259606,6,1,6,2021-03-29,4,143.36
I252528,C333065,7,2,8,2022-10-04,5,5250.0
I147387,C211494,1,3,6,2021-11-04,5,1500.4
I186255,C302831,1,1,1,2022-11-08,1,300.08
I308341,C282397,1,3,5,2021-05-17,4,1200.32
I177664,C233697,4,1,1,2022-06-16,3,121.98
I278519,C129976,7,2,8,2022-09-24,3,3150.0
I160636,C812053,4,3,4,2022-04-04,4,162.64
I306136,C324783,5,3,3,2022-10-18,1,5.23
I240224,C281502,5,3,6,2021-10-16,1,5.23
I227030,C433234,1,1,5,2021-05-17,4,1200.32
I258204,C167183,1,1,7,2023-02-03,1,300.08
I231070,C311195,1,2,2,2022-11-15,5,1500.4
I434983,C107399,8,1,5,2021-07-29,2,23.46
I326925,C992967,6,1,1,2021-07-17,4,143.36
I183840,C246719,1,1,9,2022-03-08,1,300.08
I533184,C220859,2,1,10,2022-09-22,5,3000.85
I735039,C285422,1,3,4,2022-08-01,1,300.08
I319997,C217049,1,1,5,2021-04-03,5,1500.4
I228150,C141094,1,3,10,2021-11-21,5,1500.4
I215373,C310628,1,2,1,2021-09-17,5,1500.4
I275695,C297711,3,3,6,2022-08-09,5,75.75
I107255,C211354,8,3,3,2021-09-08,1,11.73
I301538,C281864,5,3,6,2021-10-08,4,20.92
I119469,C234177,1,2,4,2021-03-03,1,300.08
I678313,C335822,1,2,10,2021-12-26,4,1200.32
I264491,C107261,4,1,4,2023-02-13,5,203.3
I177957,C653357,1,3,8,2021-07-04,4,1200.32
I188384,C327084,1,3,5,2021-01-26,1,300.08
I527111,C218706,5,2,4,2022-10-05,2,10.46
I152252,C321931,3,1,6,2021-04-05,5,75.75
I131076,C403983,8,3,3,2021-03-27,2,23.46
I151031,C137912,8,3,6,2022-11-21,5,58.65
I638444,C229733,2,1,4,2022-02-21,2,1200.34
I884439,C304835,6,1,1,2022-08-22,4,143.36
I381853,C124933,4,1,7,2022-12-06,3,121.98
I104404,C111115,2,3,1,2021-03-25,3,1800.51
I926542,C248988,6,2,1,2021-03-05,1,35.84
I263473,C162574,2,1,1,2021-08-02,3,1800.51
I177317,C331880,5,3,6,2021-04-16,4,20.92
I941223,C291911,1,1,7,2023-02-03,5,1500.4
I323436,C153958,5,2,1,2022-05-06,5,26.15
I245250,C125209,2,3,6,2022-02-05,1,600.17
I589196,C320640,6,1,6,2022-12-01,1,35.84
I241028,C803666,1,2,7,2021-12-16,2,600.16
I846943,C134691,4,3,6,2023-01-06,4,162.64
I131492,C729802,5,3,1,2021-12-08,3,15.69
I252340,C252250,5,1,6,2021-02-23,5,26.15
I571614,C208545,8,2,5,2022-01-07,4,46.92
I269945,C310975,5,1,1,2022-02-14,1,5.23
I293115,C109758,1,1,9,2022-05-20,2,600.16
I180632,C214463,1,1,5,2021-10-15,1,300.08
I946433,C387164,7,2,1,2023-02-02,4,4200.0
I557864,C135196,1,3,6,2021-11-09,1,300.08
I721903,C284031,5,3,6,2023-01-09,2,10.46
I995914,C259260,7,1,3,2021-11-22,3,3150.0
I423124,C109593,1,3,3,2023-01-07,1,300.08
I318626,C270238,4,1,5,2022-09-23,3,121.98
I284431,C308978,7,1,4,2022-06-24,4,4200.0
I334469,C221607,6,3,1,2021-07-04,5,179.2
I568785,C115148,5,3,4,2021-08-23,5,26.15
I307376,C253248,5,1,3,2022-08-11,5,26.15
I136509,C290760,4,3,6,2021-08-02,4,162.64
I194798,C258089,7,3,6,2022-07-07,2,2100.0
I236520,C222102,6,1,9,2022-02-13,3,107.52
I295482,C209440,2,1,10,2022-10-17,3,1800.51
I472275,C203263,4,3,3,2022-11-14,4,162.64
I301404,C232103,1,1,8,2021-03-24,3,900.24
I100487,C213360,4,3,1,2021-02-19,4,162.64
I206026,C225105,3,3,2,2022-11-12,1,15.15
I332620,C158124,4,1,6,2021-04-13,2,81.32
I434161,C246484,1,1,4,2021-05-03,2,600.16
I166306,C197019,1,3,9,2022-04-24,3,900.24
I207389,C947114,1,2,1,2022-12-17,3,900.24
I237018,C115431,5,3,6,2022-11-19,4,20.92
I246114,C266394,6,1,4,2022-09-22,5,179.2
I216889,C122371,1,1,6,2022-03-16,2,600.16
I137065,C736428,5,3,6,2022-01-01,4,20.92
I284262,C127339,5,3,1,2021-07-23,3,15.69
I154122,C164662,4,2,3,2021-12-22,1,40.66
I950429,C248884,4,2,1,2022-03-09,2,81.32
I499170,C100684,6,1,1,2022-02-20,1,35.84
I253083,C240688,1,2,3,2021-11-14,2,600.16
I508173,C246364,4,2,4,2022-01-23,3,121.98
I763131,C195413,1,3,6,2021-01-16,5,1500.4
I149766,C197308,4,3,6,2022-04-02,3,121.98
I702817,C264767,3,1,1,2022-10-16,5,75.75
I208491,C299172,1,3,1,2023-01-18,1,300.08
I337030,C994327,5,3,3,2022-09-27,2,10.46
I312041,C337644,1,1,6,2022-01-31,2,600.16
I150629,C175449,1,3,1,2022-12-10,3,900.24
I197620,C249092,5,3,3,2022-04-08,2,10.46
I730771,C432132,1,2,3,2022-08-05,5,1500.4
I873382,C289802,2,1,3,2023-01-07,4,2400.68
I637675,C194330,1,3,1,2021-06-28,4,1200.32
I153278,C127945,6,3,6,2022-06-04,2,71.68
I842493,C202057,1,2,6,2021-07-25,3,900.24
I156991,C315209,5,2,7,2021-02-14,2,10.46
I722730,C323605,8,3,1,2022-07-28,2,23.46
I299533,C282395,5,1,1,2022-09-09,3,15.69
I187160,C109491,2,2,1,2022-03-19,5,3000.85
I101832,C261194,4,1,1,2022-12-25,3,121.98
I943403,C232330,6,3,6,2022-09-20,1,35.84
I454983,C737782,8,2,6,2022-04-12,5,58.65
I338302,C123201,4,2,9,2021-10-03,4,162.64
I328822,C230641,5,3,3,2022-06-13,3,15.69
I168181,C805154,1,1,3,2021-07-01,3,900.24
I108543,C330021,1,2,9,2022-07-08,5,1500.4
I120615,C107668,6,1,5,2022-02-02,2,71.68
I248840,C209722,1,3,6,2022-11-10,3,900.24
I283774,C210614,6,2,5,2023-01-01,1,35.84
I212305,C212378,3,1,7,2021-11-06,1,15.15
I111228,C313586,1,1,1,2021-04-09,1,300.08
I230558,C292604,4,2,1,2021-07-31,2,81.32
I130124,C216257,1,1,9,2022-08-15,3,900.24
I221797,C272779,5,3,3,2021-08-24,3,15.69
I154490,C100507,1,3,6,2022-01-24,5,1500.4
I159376,C190072,5,3,4,2022-06-14,2,10.46
I214545,C111827,8,3,4,2021-12-05,4,46.92
I213589,C203955,7,3,9,2021-10-12,2,2100.0
